tempo rho11 rho22 rho33 soma
fs
603 0.170387 0.170391 0.659222 1
604 0.170042 0.170046 0.659911 1
605 0.169736 0.16974 0.660524 1
606 0.169469 0.169473 0.661059 1
607 0.16924 0.169244 0.661516 1
608 0.16905 0.169054 0.661895 1
609 0.168899 0.168904 0.662197 1
610 0.168788 0.168792 0.662421 1
611 0.168715 0.168719 0.662566 1
612 0.168681 0.168685 0.662634 1
613 0.168686 0.16869 0.662624 1
614 0.16873 0.168734 0.662536 1
615 0.168813 0.168817 0.662369 1
616 0.168935 0.16894 0.662125 1
617 0.169096 0.169101 0.661803 1
618 0.169296 0.1693 0.661403 1
619 0.169535 0.169539 0.660926 1
620 0.169812 0.169817 0.660371 1
621 0.170129 0.170133 0.659738 1
622 0.170484 0.170488 0.659028 1
623 0.170877 0.170881 0.658242 1
624 0.171309 0.171313 0.657378 1
625 0.171779 0.171784 0.656437 1
626 0.172288 0.172292 0.65542 1
627 0.172834 0.172839 0.654327 1
628 0.173419 0.173424 0.653157 1
629 0.174042 0.174046 0.651912 1
630 0.174702 0.174706 0.650592 1
631 0.1754 0.175404 0.649196 1
632 0.176135 0.176139 0.647726 1
633 0.176907 0.176912 0.646181 1
634 0.177716 0.177721 0.644563 1
635 0.178563 0.178567 0.64287 1
636 0.179446 0.17945 0.641105 1
637 0.180365 0.180369 0.639266 1
638 0.18132 0.181325 0.637355 1
639 0.182312 0.182316 0.635372 1
640 0.183339 0.183343 0.633318 1
641 0.184401 0.184406 0.631193 1
642 0.185499 0.185504 0.628997 1
643 0.186632 0.186636 0.626732 1
644 0.1878 0.187804 0.624396 1
645 0.189002 0.189006 0.621993 1
646 0.190238 0.190242 0.61952 1
647 0.191508 0.191512 0.61698 1
648 0.192811 0.192815 0.614374 1
649 0.194148 0.194152 0.6117 1
650 0.195517 0.195522 0.608961 1
651 0.19692 0.196924 0.606156 1
652 0.198354 0.198358 0.603287 1
653 0.19982 0.199825 0.600355 1
654 0.201318 0.201323 0.597359 1
655 0.202848 0.202852 0.5943 1
656 0.204408 0.204412 0.59118 1
657 0.205998 0.206002 0.587999 1
658 0.207619 0.207623 0.584758 1
659 0.209269 0.209273 0.581458 1
660 0.210949 0.210953 0.578098 1
661 0.212657 0.212662 0.574681 1
662 0.214394 0.214399 0.571207 1
663 0.216159 0.216164 0.567677 1
664 0.217952 0.217957 0.564091 1
665 0.219772 0.219777 0.560451 1
666 0.221619 0.221624 0.556757 1
667 0.223493 0.223497 0.553011 1
668 0.225392 0.225396 0.549212 1
669 0.227317 0.227321 0.545363 1
670 0.229266 0.229271 0.541463 1
671 0.231241 0.231245 0.537514 1
672 0.233239 0.233243 0.533517 1
673 0.235261 0.235266 0.529473 1
674 0.237307 0.237311 0.525383 1
675 0.239374 0.239379 0.521247 1
676 0.241465 0.241469 0.517067 1
677 0.243576 0.24358 0.512843 1
678 0.245709 0.245713 0.508577 1
679 0.247863 0.247867 0.50427 1
680 0.250037 0.250041 0.499923 1
681 0.25223 0.252234 0.495536 1
682 0.254443 0.254447 0.491111 1
683 0.256674 0.256678 0.486649 1
684 0.258923 0.258927 0.48215 1
685 0.26119 0.261194 0.477617 1
686 0.263473 0.263477 0.473049 1
687 0.265774 0.265778 0.468449 1
688 0.26809 0.268094 0.463817 1
689 0.270421 0.270425 0.459154 1
690 0.272767 0.272771 0.454461 1
691 0.275128 0.275132 0.44974 1
692 0.277502 0.277506 0.444992 1
693 0.279889 0.279893 0.440217 1
694 0.282289 0.282293 0.435417 1
695 0.284701 0.284705 0.430594 1
696 0.287125 0.287128 0.425747 1
697 0.289559 0.289563 0.420879 1
698 0.292003 0.292007 0.41599 1
699 0.294457 0.294461 0.411081 1
700 0.296921 0.296924 0.406155 1
701 0.299392 0.299396 0.401211 1
702 0.301872 0.301876 0.396252 1
703 0.304359 0.304363 0.391278 1
704 0.306853 0.306857 0.38629 1
705 0.309353 0.309357 0.38129 1
706 0.311859 0.311862 0.376279 1
707 0.314369 0.314373 0.371258 1
708 0.316884 0.316888 0.366228 1
709 0.319403 0.319407 0.361191 1
710 0.321925 0.321928 0.356147 1
711 0.32445 0.324453 0.351097 1
712 0.326976 0.32698 0.346044 1
713 0.329504 0.329508 0.340988 1
714 0.332033 0.332036 0.335931 1
715 0.334562 0.334565 0.330873 1
716 0.33709 0.337094 0.325816 1
717 0.339618 0.339621 0.320761 1
718 0.342144 0.342147 0.315709 1
719 0.344668 0.344671 0.310661 1
720 0.347189 0.347192 0.305619 1
721 0.349707 0.34971 0.300583 1
722 0.35222 0.352224 0.295556 1
723 0.354729 0.354733 0.290538 1
724 0.357233 0.357237 0.28553 1
